rating,helpful_feedback,is_seller_reply
5,0,True
4,1,True
5,0,True
4,1,True
5,0,True
5,1,True
5,2,True
5,0,True
4,13,True
2,12,True
5,0,True
5,0,True
5,0,True
5,1,True
5,0,True
5,0,True
5,0,True
5,1,True
5,0,True
5,0,True
5,0,True
5,0,True
4,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,1,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,1,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,1,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
4,0,True
4,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
4,2,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
2,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
4,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,1,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,1,True
5,0,True
5,0,True
5,0,True
5,0,True
4,0,True
5,0,True
5,0,True
5,0,True
4,1,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,1,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,1,True
5,1,True
5,1,True
5,0,True
5,0,True
5,0,True
5,0,True
4,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
3,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,1,True
1,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,1,True
5,1,True
5,0,True
5,0,True
5,1,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
