rating,helpful_feedback,is_seller_reply
4,21,True
5,2,False
5,3,True
5,4,True
4,0,True
1,12,False
3,5,False
1,0,True
1,34,False
1,26,False
5,0,True
5,0,True
5,0,False
5,6,False
3,6,False
1,1,False
1,18,False
1,0,False
1,17,False
1,24,False
5,0,True
5,0,True
2,8,False
1,1,True
1,7,False
2,3,False
1,1,False
1,6,False
1,3,False
1,12,False
5,0,True
5,0,True
5,0,True
1,29,False
1,0,False
1,3,False
1,4,False
1,0,False
1,17,False
2,0,False
5,0,True
5,0,True
4,3,True
5,0,True
5,1,True
5,0,True
3,0,False
1,3,False
1,12,False
3,0,False
5,0,True
5,0,True
5,0,True
5,0,True
4,0,True
1,2,False
2,0,False
1,5,False
1,3,False
1,1,True
4,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
1,1,False
1,1,False
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
2,1,False
2,3,False
1,7,False
3,1,False
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
3,0,False
3,1,False
1,2,False
2,1,False
1,2,False
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
1,3,False
5,0,True
5,0,True
5,0,True
5,0,True
1,3,False
1,1,False
1,2,False
3,0,False
1,1,False
2,1,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
1,2,False
1,0,False
3,1,False
3,0,False
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
3,2,False
1,2,False
1,0,False
1,2,False
5,0,True
5,0,True
5,1,False
5,0,True
5,0,True
5,0,True
1,0,False
1,1,False
1,7,False
1,2,False
5,0,True
5,0,True
5,0,True
5,0,True
1,2,False
1,3,False
1,1,False
1,3,False
1,2,False
2,1,False
5,0,True
5,0,True
5,0,True
4,0,True
5,0,True
5,0,True
5,0,True
1,1,False
1,1,False
1,1,False
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
1,1,True
1,2,False
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
1,3,False
1,0,False
1,1,False
1,1,False
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
1,1,False
2,1,False
1,1,False
5,0,True
5,1,False
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
3,0,False
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
1,1,False
1,3,False
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
1,2,False
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
2,1,False
1,1,False
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
3,1,False
1,3,False
2,2,False
2,0,False
1,1,False
5,0,True
5,0,True
5,0,False
5,0,True
5,0,True
5,0,True
1,0,False
2,1,False
3,0,False
1,4,False
5,1,False
5,0,True
5,0,True
5,0,True
4,0,True
4,0,True
5,0,True
5,0,True
5,0,True
2,1,False
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,False
5,0,True
5,0,True
3,0,False
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
1,0,False
1,2,False
1,1,False
1,1,False
1,4,False
5,0,True
5,0,False
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
3,1,False
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
1,1,False
3,1,False
3,0,False
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
5,0,True
1,2,False
1,1,False
1,6,False
5,0,True
5,0,True
5,0,True
